index,data,data2
0,-3.2,3.5
1,-3,3.9
2,-2.8,4
3,-2.6,4
4,-2.3,3.9
5,-2,3.7
6,-2,4.3
7,-2,4.7
8,-2,5
9,-2.7,6
10,-3.3,7
11,-4,8
12,-4.3,7.7
13,-4.7,7.3
14,-5,7
15,-5,7
16,-4,6
17,-4,5
18,-3.7,4
19,-3.3,3
20,-3,2
21,-3,1.7
22,-3,1.3
23,-3,1
24,-3,0.7
25,-3,0.3
26,-3,0
27,-3.3,-0.3
28,-3.7,-0.7
29,-4,-1
30,-3.5,-0.5
31,-3,0
32,-2,2
33,-1.3,4.3
34,-0.7,6.7
35,0,9
36,0.7,9.7
37,1.3,10.3
38,2,11
39,1.8,9.8
40,1.7,8.7
41,1.5,7.5
42,1.3,6.3
43,1.2,5.2
44,1,4
45,0.7,3.7
46,0.3,3.3
47,0,3
48,0,2.3
49,0,1.7
50,0,1
51,0.3,1.3
52,0.7,1.7
53,1,2
54,0,2
55,1,3
56,2,4
57,2.5,5.5
58,3,7
59,4,10
60,4.3,10
61,4.7,10
62,5,10
63,5.3,9.7
64,5.7,9.3
65,6,9
66,6.3,8.7
67,6.7,8.3
68,7,8
69,6.5,7.5
70,6,7
71,5.5,6.5
72,5,6
73,4.5,5.5
74,4,5
75,4,4
76,4,4
77,3,4
78,3.3,4.3
79,3.7,4.7
80,4,5
81,2.7,7.3
82,1.3,9.7
83,0,12
84,-0.3,12
85,-0.7,12
86,-1,12
87,-1,11.3
88,-1,10.7
89,-1,10
90,-0.3,8.7
91,0.3,7.3
92,1,6
93,0.3,5.3
94,-0.3,4.7
95,-1,4
96,-1,3.3
97,-1,2.7
98,-1,2
99,-1.3,1.7
100,-1.5,1.5
101,-1.8,1.2
102,-2,1
103,-1,3
104,0,5
105,-0.3,6.3
106,-0.7,7.7
107,-1,9
108,-1.7,9.3
109,-2.3,9.7
110,-3,10
111,-2.3,9.3
112,-1.7,8.7
113,-1,8
114,-1,7
115,-1,6
116,-1,5
117,-1,4.3
118,-1,3.7
119,-1,3
120,-0.8,3
121,-0.7,3
122,-0.5,3
123,-0.3,3
124,-0.2,3
125,0,3
126,0.3,3.7
127,0.7,4.3
128,1,5
129,1.5,7.5
130,2,10
131,2,10
132,2.7,10.3
133,3.3,10.7
134,4,11
135,4.3,10.7
136,4.7,10.3
137,5,10
138,4.7,9
139,4.3,8
140,4,7
141,3.7,6.3
142,3.3,5.7
143,3,5
144,2.7,4.7
145,2.3,4.3
146,2,4
147,2,5
148,2,6
149,2,7
150,1.5,7
151,1,7
152,0.5,7
153,0,7
154,-0.5,7
155,-1,7
156,-2,8
157,-1.5,7.5
158,-1,7
159,-1.3,6
160,-1.7,5
161,-2,4
162,-2,3.5
163,-2,3
164,-2,2.7
165,-2,2.5
166,-2,2.2
167,-2,2
168,-2,1
169,-2.5,0
170,-3,-1
171,-2.7,-0.7
172,-2.3,-0.3
173,-2,0
174,-1.7,1
175,-1.3,2
176,-1,3
177,-1,4
178,-1.5,5.5
179,-2,7
180,-2.3,7.3
181,-2.7,7.7
182,-3,8
183,-3,7.3
184,-3,6.7
185,-3,6
186,-2.7,4.7
187,-2.3,3.3
188,-2,2
189,-2.3,1.7
190,-2.5,1.5
191,-2.8,1.2
192,-3,1
193,-3,0.5
194,-3,0
195,-3,0
196,-2.6,0.4
197,-2.2,0.8
198,-1.8,1.2
199,-1.4,1.6
200,-1,2
201,-0.7,4.3
202,-0.3,6.7
203,0,9
204,1,9.7
205,2,10.3
206,3,11
207,2.3,10.3
208,1.7,9.7
209,1,9
210,1,7.7
211,1,6.3
212,1,5
213,0.7,4.3
214,0.3,3.7
215,0,3
216,-0.3,2.7
217,-0.7,2.3
218,-1,2
219,0,2
220,0,2
221,0,2
222,0.7,3
223,1.3,4
224,2,5
225,2,7
226,2,9
227,2,11
228,2,13
229,2,13
230,1,14
231,1,12.7
232,1,11.3
233,1,10
234,1,9.3
235,1,8.7
236,1,8
237,1,7
238,1,6
239,1,5
240,1,4.7
241,1,4.3
242,1,4
243,0.7,3.3
244,0.3,2.7
245,0,2
246,1,3.7
247,2,5.3
248,3,7
249,3,8.7
250,3,10.3
251,3,12
252,3,11.7
253,3,11.3
254,3,11
255,3,10.7
256,3,10.3
257,3,10
258,3,9
259,3,8
260,3,7
261,3,6
262,3,6
263,3,6
264,3,6
265,3,6
266,3,6
267,2,5
268,2,5
269,2,6
270,2,6.7
271,2,7.3
272,2,8
273,2,8.5
274,2,9
275,2,9
276,2,10
277,1.8,9.8
278,1.6,9.6
279,1.4,9.4
280,1.2,9.2
281,1,9
282,1,8.3
283,1,7.7
284,1,7
285,1,6.3
286,1,5.7
287,1,5
288,1,5
289,1,5
290,1,4.5
291,1,4
292,1,3.5
293,1,3
294,1.2,3.8
295,1.3,4.7
296,1.5,5.5
297,1.7,6.3
298,1.8,7.2
299,2,8
300,1.7,8
301,1.3,8
302,1,8
303,1.3,8
304,1.7,8
305,2,8
306,2.7,7.7
307,3.3,7.3
308,4,7
309,4,6
310,4,5.5
311,4,5
312,3.3,4.3
313,2.7,3.7
314,2,3
315,1,4
316,1,4
317,1,4
318,1.5,4.5
319,2,5
320,1,5
321,0.5,6.5
322,0,8
323,-1,8
324,-1,8
325,-1,8
326,-1,8
327,-1,7
328,-1,6
329,-1,5
330,-1.3,4.7
331,-1.7,4.3
332,-2,4
333,-1,3
334,-1,2.7
335,-1,2.3
336,-1,2
337,-1.4,2
338,-1.8,2
339,-2.2,2
340,-2.6,2
341,-3,2
342,-3.7,2.7
343,-4.3,3.3
344,-5,4
345,-5,5
346,-5,6
347,-5,7
348,-4.7,7
349,-4.3,7
350,-4,7
351,-4.3,6
352,-4.7,5
353,-5,4
354,-4.7,3.3
355,-4.3,2.7
356,-4,2
357,-4,1.3
358,-4,0.7
359,-4,0
360,-4.3,-0.7
361,-4.7,-1.3
362,-5,-2
363,-5,-2
364,-5,-2
365,-5,-2
366,-5,-2
367,-4,0
368,-3,2
369,-3,4
370,-3,6
371,-3,8
372,-6,9
373,-9,10
374,-12,11
375,-8.7,9.7
376,-5.3,8.3
377,-2,7
378,-2,6.3
379,-2,5.7
380,-2,5
381,-2.5,4
382,-3,3
383,-3,2
384,-2.7,2.3
385,-2.3,2.7
386,-2,3
387,-1.3,3.3
388,-0.7,3.7
389,0,4
390,1,4
391,2.5,5.5
392,4,7
393,4.7,7.7
394,5.3,8.3
395,6,9
396,7,9
397,8,9
398,8,9
399,8.7,9.3
400,9.3,9.7
401,10,10
402,10.7,11.3
403,11.3,12.7
404,12,14
405,9.5,13
406,7,12
407,6,10
408,5.7,9.7
409,5.3,9.3
410,5,9
411,5,8
412,5,8
413,5,8
414,5,8.3
415,5,8.7
416,5,9
417,4.5,10
418,4,11
419,4,10
420,4,10.3
421,4,10.7
422,4,11
423,3.8,10.2
424,3.7,9.3
